target_table,row_id,audio_url,audio_key,audio_source_cell,source_file
senses,2642,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C130.mp3,Linfala/senses/A/A.C130.mp3,A.C130,A.C130.mp3
senses,2643,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C131.mp3,Linfala/senses/A/A.C131.mp3,A.C131,A.C131.mp3
senses,2644,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C132.mp3,Linfala/senses/A/A.C132.mp3,A.C132,A.C132.mp3
senses,2646,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C133.mp3,Linfala/senses/A/A.C133.mp3,A.C133,A.C133.mp3
senses,2647,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C134.mp3,Linfala/senses/A/A.C134.mp3,A.C134,A.C134.mp3
senses,2648,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C135.mp3,Linfala/senses/A/A.C135.mp3,A.C135,A.C135.mp3
senses,2649,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C136.mp3,Linfala/senses/A/A.C136.mp3,A.C136,A.C136.mp3
senses,2651,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C137.mp3,Linfala/senses/A/A.C137.mp3,A.C137,A.C137.mp3
senses,2652,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C138.mp3,Linfala/senses/A/A.C138.mp3,A.C138,A.C138.mp3
senses,2654,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C139.mp3,Linfala/senses/A/A.C139.mp3,A.C139,A.C139.mp3
senses,2504,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C14.mp3,Linfala/senses/A/A.C14.mp3,A.C14,A.C14.mp3
senses,2655,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C140.mp3,Linfala/senses/A/A.C140.mp3,A.C140,A.C140.mp3
senses,2656,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C141.mp3,Linfala/senses/A/A.C141.mp3,A.C141,A.C141.mp3
senses,2657,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C142.mp3,Linfala/senses/A/A.C142.mp3,A.C142,A.C142.mp3
senses,2658,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C143.mp3,Linfala/senses/A/A.C143.mp3,A.C143,A.C143.mp3
senses,2659,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C144.mp3,Linfala/senses/A/A.C144.mp3,A.C144,A.C144.mp3
senses,2660,https://pub-78d23bf07fce46b3adc19df91148ffb8.r2.dev/Linfala/senses/A/A.C145.mp3,Linfala/senses/A/A.C145.mp3,A.C145,A.C145.mp3
